-,co,el,ht,be,ny,cy,hr,uk,ha,ja,lo,yo,km,sw,tg,zh-CN,no,pt,jw,uz,sq,af,is,sn,lb,xh,sk,haw,hy,la,ku,si,ne,mi,fy,bn,tl,sv,es,pa,yi,eo,gu,da,de,ka,lt,fa,iw,sm,gd,te,ceb,kk,pl,ru,vi,am,my,bg,mt,eu,zh-TW,ms,hi,kn,lv,gl,et,ig,su,th,sl,ky,ar,ml,so,ca,ko,ps,hmn,ur,sr,ro,cs,nl,tr,mk,bs,id,ga,ta,zu,sd,mn,st,it,az,fr,mr,fi,hu,mg,,
es,45,49,45,48,30,27,41,36,23,27,25,16,27,30,42,33,29,76,22,42,48,29,25,23,41,27,24,15,38,22,14,19,33,17,31,27,21,32,0,26,21,60,22,31,40,32,43,26,41,28,31,24,32,40,41,41,31,38,21,44,34,50,33,34,24,26,36,102,28,18,32,33,41,19,28,19,39,94,24,41,28,33,35,58,35,36,45,48,46,34,20,34,40,25,39,25,59,34,49,24,40,29,42,7,
pa,34,34,57,41,45,34,35,25,42,31,71,34,90,55,53,50,29,25,41,66,27,32,49,43,32,46,38,38,58,24,24,59,111,54,23,99,46,39,26,0,20,35,90,33,32,53,58,42,22,44,47,46,34,53,26,33,48,58,32,32,37,31,50,74,85,80,53,34,48,40,34,42,43,24,33,54,55,31,31,85,43,84,41,24,28,28,44,43,32,50,42,54,53,69,56,43,28,47,25,115,34,32,60,33,
yi,13,30,30,27,33,23,29,32,24,12,29,23,33,29,25,17,20,21,24,31,21,22,28,17,30,24,24,21,26,16,13,21,27,36,21,23,28,35,21,20,0,35,16,24,32,19,23,28,27,27,29,16,24,33,27,24,22,36,21,36,25,20,17,33,23,24,20,27,17,22,26,26,26,12,17,16,23,26,14,28,33,21,22,21,33,19,27,30,31,23,16,19,21,18,42,32,20,29,15,18,25,21,35,0,
eo,42,43,38,37,40,43,42,42,33,24,29,23,33,39,48,32,29,55,25,40,43,29,31,30,42,34,20,26,37,17,15,21,35,29,41,25,25,34,60,35,35,0,21,29,34,39,43,29,34,33,46,27,29,45,29,38,37,41,23,48,38,45,32,34,35,25,43,83,26,29,29,31,39,18,26,17,40,69,20,33,22,26,30,40,38,32,32,44,39,33,31,30,36,24,48,39,46,46,44,21,31,30,36,4,
gu,16,25,34,37,36,34,32,23,33,21,42,29,61,50,49,36,23,19,35,50,25,27,42,30,26,42,21,35,44,17,22,39,88,35,19,79,30,25,22,90,16,21,0,24,26,40,51,31,24,40,32,46,24,47,17,27,38,60,23,19,32,24,36,50,63,85,45,30,39,42,24,38,35,16,27,42,44,28,19,52,33,66,36,20,20,19,34,33,28,38,28,50,40,52,47,39,23,47,22,95,34,20,32,16,
da,20,40,31,34,23,31,41,37,19,28,27,18,33,34,36,33,72,27,24,33,30,35,38,19,37,22,25,17,36,18,14,25,38,28,38,24,26,62,31,33,24,29,24,0,51,32,25,30,34,25,29,26,20,38,47,36,32,42,19,41,29,25,33,38,31,35,24,39,29,16,25,26,35,21,26,21,34,36,23,36,22,34,35,31,45,36,42,37,37,37,22,30,25,26,35,20,25,34,34,25,53,38,23,4,
de,31,39,45,49,27,32,52,42,25,30,39,17,43,41,47,39,44,39,30,47,37,43,50,22,56,30,29,17,36,19,20,29,46,31,46,25,28,38,40,32,32,34,26,51,0,39,36,37,39,38,38,21,26,47,41,43,35,47,22,50,38,23,39,42,35,26,41,45,27,27,37,27,59,14,32,20,35,40,24,31,25,36,46,37,49,49,39,43,48,43,36,32,36,24,43,30,37,42,43,34,44,44,28,6,
ka,28,38,38,65,44,33,49,60,32,29,28,21,43,44,51,29,21,33,32,62,35,41,44,36,38,41,47,30,79,27,33,46,54,25,29,54,37,30,32,53,19,39,40,32,39,0,90,37,28,38,37,42,27,63,27,46,33,44,29,59,33,36,29,43,42,64,79,39,87,29,30,22,49,30,32,65,41,38,23,58,42,51,53,48,42,35,36,54,41,44,34,36,57,66,55,36,28,47,26,48,40,35,40,22,
lt,29,46,41,59,53,29,53,58,36,38,47,17,65,44,69,39,24,37,37,92,36,34,37,52,42,54,73,42,89,20,42,47,63,29,36,59,41,27,43,58,23,43,51,25,36,90,0,58,46,43,39,41,31,88,39,57,29,53,27,59,34,51,39,46,51,66,158,55,190,41,23,33,60,49,43,78,59,51,25,63,53,56,86,44,35,30,42,70,61,35,36,33,54,64,71,43,41,68,35,52,30,37,41,42,
fa,29,52,32,35,36,32,44,30,43,33,47,24,58,45,59,43,26,25,33,61,37,30,44,33,25,43,41,28,51,23,25,41,58,38,31,45,29,28,26,42,28,29,31,30,37,37,58,0,42,41,41,39,33,50,32,38,41,53,33,43,34,26,43,52,56,47,45,37,44,43,28,47,43,33,46,37,47,26,36,65,38,56,41,35,36,26,60,40,36,40,31,46,43,42,55,31,33,60,29,40,32,36,46,16,
