-,lb,my,mi,cy,ny,ceb,hu,no,ku,ha,pa,fi,hi,ca,eu,lv,ig,sl,ja,af,mk,yo,sd,sw,da,iw,uz,it,ka,fr,si,ht,lt,kn,gd,vi,mt,hmn,ms,gl,hy,st,sr,su,co,gu,yi,tg,hr,ro,fa,fy,is,so,sv,ta,la,ga,id,be,ru,am,az,ne,tr,zu,tl,mg,haw,eo,es,lo,sk,mn,zh-CN,zh-TW,el,sq,sn,jw,sm,et,bn,pl,cs,ps,ar,uk,mr,ky,ur,km,nl,xh,kk,de,bg,te,bs,ko,th,pt,ml,
pa,23,22,39,21,30,22,15,19,19,30,0,19,53,17,20,39,28,21,19,19,28,27,49,32,22,12,44,12,34,17,36,35,39,49,26,26,22,31,45,20,37,31,24,25,25,54,17,33,23,16,27,14,29,36,26,31,15,28,34,22,19,39,30,72,25,35,31,45,26,19,12,50,22,33,26,26,17,13,27,28,31,29,57,10,16,57,22,14,73,13,55,62,16,33,34,22,18,23,16,20,28,13,32,
fi,24,13,19,12,18,20,23,21,12,21,19,0,23,19,13,24,20,17,16,19,22,20,19,23,32,19,30,22,22,26,19,19,21,27,19,18,23,22,24,25,21,20,18,22,14,16,18,29,28,22,20,22,24,28,30,20,12,13,30,32,20,25,29,26,28,25,22,20,15,21,22,17,22,33,22,22,31,21,12,14,31,20,22,23,35,31,23,25,19,16,18,18,21,22,29,26,27,20,24,20,19,24,18,
hi,19,16,32,23,34,27,11,14,25,24,53,23,0,18,20,30,29,16,24,17,21,20,44,34,20,16,24,14,25,16,29,20,33,37,30,22,21,33,22,16,28,23,22,16,21,33,16,28,17,26,36,14,25,38,18,25,16,16,27,31,24,37,26,64,32,25,23,27,28,21,13,24,23,28,18,18,26,23,21,12,35,39,41,16,22,38,25,22,35,22,41,25,18,27,28,18,16,21,15,17,20,13,33,
ca,33,17,17,18,24,21,23,18,14,17,17,19,18,0,32,26,19,29,16,18,31,15,18,27,22,26,29,46,19,31,18,34,28,21,24,19,29,16,23,82,22,21,20,19,41,14,17,26,28,27,14,24,16,34,20,21,14,11,21,24,19,28,22,23,24,22,16,28,15,41,60,20,14,28,12,12,27,27,15,16,23,21,19,22,22,20,16,21,18,8,15,25,24,26,23,25,22,10,26,18,18,39,12,
eu,27,14,21,12,22,21,15,6,16,20,20,13,20,32,0,20,20,20,15,15,16,13,19,22,15,15,28,25,25,20,18,32,34,22,23,13,17,21,28,32,21,18,16,14,34,14,14,28,18,19,15,13,20,29,12,18,13,13,22,17,13,15,26,25,25,22,14,29,14,28,30,24,12,33,17,17,18,19,19,20,26,28,19,11,14,24,8,18,16,13,19,34,13,25,27,15,16,14,21,15,17,22,13,
lv,32,19,22,21,28,24,19,24,29,18,39,24,30,26,20,0,28,34,22,18,40,17,38,33,17,22,52,23,56,23,29,24,118,40,21,16,19,28,31,27,43,32,51,15,28,35,15,35,30,27,31,13,19,32,16,20,15,20,26,29,32,32,32,36,17,39,18,26,29,27,21,29,49,38,15,15,18,22,27,24,22,124,33,17,23,34,34,31,33,42,43,32,23,28,47,23,32,18,25,13,21,21,41,
ig,26,13,63,19,58,35,16,9,17,52,28,20,29,19,20,28,0,30,18,19,21,56,35,45,11,16,43,14,21,11,27,28,35,24,34,23,19,45,29,24,22,64,16,30,17,30,20,29,17,17,31,22,27,44,17,29,14,17,27,27,18,38,22,36,24,45,32,48,40,24,14,32,19,43,16,16,18,17,36,28,61,22,36,9,20,38,21,19,23,13,26,29,14,47,30,19,17,25,22,17,29,15,31,
sl,40,18,24,21,18,19,21,12,13,22,21,17,16,29,20,34,30,0,13,21,48,18,21,24,19,23,37,23,25,19,17,34,35,29,24,25,19,20,34,33,30,26,47,22,18,17,16,34,36,19,24,27,28,34,21,16,11,18,37,19,21,30,25,29,26,32,21,29,19,23,25,33,21,39,19,19,18,24,16,27,24,33,28,17,26,34,19,30,25,15,27,36,13,29,39,31,30,15,69,11,20,19,15,
ja,17,10,16,15,15,11,18,14,7,13,19,16,24,16,15,22,18,13,0,18,17,14,20,19,18,18,25,18,22,15,24,18,22,19,22,26,15,17,19,16,14,18,14,14,13,11,7,23,12,17,18,10,14,21,13,18,9,16,24,16,13,22,12,20,19,23,15,20,12,13,17,17,14,27,30,30,13,13,19,16,22,21,16,10,18,22,15,17,12,14,16,18,13,32,25,19,18,9,12,31,20,19,14,
af,28,16,24,20,20,18,15,21,10,22,19,19,17,18,15,18,19,21,18,0,21,15,18,26,19,16,19,16,26,22,19,22,23,19,19,21,22,15,22,20,24,25,18,20,14,14,16,22,24,18,15,25,23,22,15,22,16,21,25,31,17,20,22,22,23,20,20,22,17,18,15,17,18,22,20,20,24,24,12,15,21,17,18,16,25,18,13,24,13,7,19,24,26,23,23,24,17,14,20,14,13,15,14,
mk,36,15,22,20,21,20,23,14,9,20,28,22,21,31,16,40,21,48,17,21,0,17,19,29,21,19,30,23,32,24,16,34,37,26,21,15,21,21,30,27,39,24,42,20,19,19,18,39,37,19,22,18,22,35,24,18,12,19,30,29,31,32,34,24,22,27,19,32,18,26,29,27,24,38,17,17,19,27,20,16,18,30,27,23,23,39,22,32,22,13,33,28,18,27,46,21,47,16,51,14,22,19,21,
